Release,Opening,Total Gross,% of Total,Theaters,Average,Date,Distributor
Avengers: Endgame,357115007,858373000,41.6,4662,76601,26-04-2019,Walt Disney Studios Motion Pictures
Spider-Man: No Way Home,260138569,804793477,32.3,4336,59995,17-12-2021,Sony Pictures Releasing
Avengers: Infinity War,257698183,678815482,38,4474,57599,27-04-2018,Walt Disney Studios Motion Pictures
Star Wars: Episode VII - The Force Awakens,247966675,936662225,26.5,4134,59982,18-12-2015,Walt Disney Studios Motion Pictures
Star Wars: Episode VIII - The Last Jedi,220009584,620181382,35.5,4232,51987,15-12-2017,Walt Disney Studios Motion Pictures
Jurassic World,208806270,652270625,32,4274,48855,12-06-2015,Universal Pictures
The Avengers,207438708,623357910,33.3,4349,47698,04-05-2012,Walt Disney Studios Motion Pictures
Black Panther,202003951,700059566,28.9,4020,50249,16-02-2018,Walt Disney Studios Motion Pictures
The Lion King,191770759,543638043,35.3,4725,40586,19-07-2019,Walt Disney Studios Motion Pictures
Avengers: Age of Ultron,191271109,459005868,41.7,4276,44731,01-05-2015,Walt Disney Studios Motion Pictures
Doctor Strange in the Multiverse of Madness,187420998,411331607,45.6,4534,41336,06-05-2022,Walt Disney Studios Motion Pictures
Incredibles 2,182687905,608581744,30,4410,41425,15-06-2018,Walt Disney Studios Motion Pictures
Black Panther: Wakanda Forever,181339761,453829060,40,4396,41251,11-11-2022,Walt Disney Studios Motion Pictures
Captain America: Civil War,179139142,408084349,43.9,4226,42389,06-05-2016,Walt Disney Studios Motion Pictures
Star Wars: Episode IX - The Rise of Skywalker,177383864,515202542,34.4,4406,40259,20-12-2019,Walt Disney Studios Motion Pictures
Beauty and the Beast,174750616,504014165,34.7,4210,41508,17-03-2017,Walt Disney Studios Motion Pictures
Iron Man 3,174144585,409013994,42.6,4253,40946,03-05-2013,Walt Disney Studios Motion Pictures
Harry Potter and the Deathly Hallows: Part 2,169189427,381011219,44.4,4375,38671,15-07-2011,Warner Bros.
Batman v Superman: Dawn of Justice,166007347,330360194,50.2,4242,39134,25-03-2016,Warner Bros.
Barbie,162022044,636238421,25.5,4243,38185,21-07-2023,Warner Bros.
The Dark Knight Rises,160887295,448139099,35.9,4404,36532,20-07-2012,Warner Bros.
The Dark Knight,158411483,533345358,29.7,4366,36282,18-07-2008,Warner Bros.
The Hunger Games: Catching Fire,158074286,424668047,37.2,4163,37971,22-11-2013,Lionsgate Films
Rogue One: A Star Wars Story,155081681,532177324,29.1,4157,37306,16-12-2016,Walt Disney Studios Motion Pictures
Captain Marvel,153433423,426829839,36,4310,35599,08-03-2019,Walt Disney Studios Motion Pictures
The Hunger Games,152535747,408010692,37.4,4137,36871,23-03-2012,Lionsgate Films
Spider-Man 3,151116516,336530303,44.9,4252,35540,04-05-2007,Sony Pictures Releasing
Jurassic World: Fallen Kingdom,148024610,417719760,35.4,4475,33078,22-06-2018,Universal Pictures
Furious 7,147187040,353007020,41.7,4004,36760,03-04-2015,Universal Pictures
Guardians of the Galaxy Vol. 2,146510104,389813101,37.6,4347,33703,05-05-2017,Walt Disney Studios Motion Pictures
The Super Mario Bros. Movie,146361865,574934330,25.5,4343,33700,05-04-2023,Universal Pictures
Jurassic World Dominion,145075625,376851080,38.5,4676,31025,10-06-2022,Universal Pictures
Thor: Love and Thunder,144165107,343256830,42,4375,32952,08-07-2022,Walt Disney Studios Motion Pictures
The Twilight Saga: New Moon,142839137,296623634,48.2,4024,35496,20-11-2009,Summit Entertainment
The Twilight Saga: Breaking Dawn - Part 2,141067634,292324737,48.3,4070,34660,16-11-2012,Lionsgate Films
The Twilight Saga: Breaking Dawn - Part 1,138122261,281287133,49.1,4061,34011,18-11-2011,Summit Entertainment
Pirates of the Caribbean: Dead Man's Chest,135634554,423315812,32,4133,32817,07-07-2006,Walt Disney Studios Motion Pictures
Finding Dory,135060273,486295561,27.8,4305,31372,17-06-2016,Walt Disney Studios Motion Pictures
Avatar: The Way of Water,134100226,684075767,19.6,4202,31913,16-12-2022,20th Century Studios
The Batman,134008624,369345583,36.3,4417,30339,04-03-2022,Warner Bros.
Suicide Squad,133682248,325100054,41.1,4255,31417,05-08-2016,Warner Bros.
Deadpool,132434639,363070709,36.5,3558,37221,12-02-2016,Twentieth Century Fox
Frozen II,130263358,477373578,27.3,4440,29338,22-11-2019,Walt Disney Studios Motion Pictures
Iron Man 2,128122480,312433331,41,4380,29251,07-05-2010,Paramount Pictures
Top Gun: Maverick,126707459,718732821,17.6,4735,26759,27-05-2022,Paramount Pictures
Deadpool 2,125507153,318491426,39.4,4349,28858,18-05-2018,Twentieth Century Fox
Harry Potter and the Deathly Hallows: Part 1,125017372,295983305,42.2,4125,30307,19-11-2010,Warner Bros.
